1916 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Burlington-South Burlington, VT, Metropolitan Statistical Area",76074,730,40299,136,0,538,53.0,145,0,555
"Butte-Silver Bow, MT, Micropolitan Statistical Area",56848,660,22384,259,0,14,39.4,482,0,799
"Cadillac, MI, Micropolitan Statistical Area",31375,454,6230,692,0,672,19.9,842,0,299
"Calhoun, GA, Micropolitan Statistical Area",15861,168,6368,684,0,648,40.1,463,0,742
"California-Lexington Park, MD, Metropolitan Statistical Area",17030,195,14871,385,0,517,87.3,14,0,57
"Cambridge, MD, Micropolitan Statistical Area",28669,390,10044,552,0,162,35.0,613,0,406
"Cambridge, OH, Micropolitan Statistical Area",42716,563,22656,256,0,2,53.0,143,0,549
"Camden, AR, Micropolitan Statistical Area",31668,459,13575,424,0,635,42.9,391,0,526
"Campbellsville, KY, Micropolitan Statistical Area",11961,110,6782,672,0,612,56.7,97,0,388
"Cañon City, CO, Micropolitan Statistical Area",18181,211,4533,759,0,873,24.9,781,0,56
"Canton, IL, Micropolitan Statistical Area",49549,618,10609,529,0,70,21.4,827,0,239
"Canton-Massillon, OH, Metropolitan Statistical Area",138748,814,64569,81,0,324,46.5,278,0,90
"Cape Coral-Fort Myers, FL, Metropolitan Statistical Area",6294,47,2623,828,0,243,41.7,417,0,604
"Cape Girardeau, MO-IL, Metropolitan Statistical Area",64938,698,23165,251,0,883,35.7,590,0,314
"Carbondale-Marion, IL, Metropolitan Statistical Area",80241,743,27898,215,0,775,34.8,620,0,434
"Carlsbad-Artesia, NM, Micropolitan Statistical Area",12400,117,4031,778,0,44,32.5,663,0,575
"Carson City, NV, Metropolitan Statistical Area",3415,24,851,879,0,447,24.9,782,0,60
"Casper, WY, Metropolitan Statistical Area",4766,37,1561,862,0,379,32.8,653,0,545
"Cedar City, UT, Micropolitan Statistical Area",3933,29,4481,761,0,879,113.9,3,0,13
"Cedar Rapids, IA, Metropolitan Statistical Area",102926,776,40643,134,0,532,39.5,480,0,793
"Cedartown, GA, Micropolitan Statistical Area",20203,252,7480,649,0,543,37.0,556,0,179
"Celina, OH, Micropolitan Statistical Area",27536,370,15798,369,0,453,57.4,89,0,356
"Centralia, IL, Micropolitan Statistical Area",35094,507,11878,486,0,821,33.8,634,0,488
"Centralia, WA, Micropolitan Statistical Area",32127,465,6275,690,0,666,19.5,843,0,303
"Chambersburg-Waynesboro, PA, Metropolitan Statistical Area",59775,673,24615,240,0,850,41.2,428,0,637
"Champaign-Urbana, IL, Metropolitan Statistical Area",85301,753,39005,140,0,550,45.7,306,0,202
"Charleston, WV, Metropolitan Statistical Area",102021,775,26370,227,0,811,25.8,763,0,875
"Charleston-Mattoon, IL, Micropolitan Statistical Area",48798,612,17004,344,0,353,34.8,616,0,418
